Feature,Coefficient,Importance
gvz_log,0.2369013189436546,0.2369013189436546
har_weekly,0.047962180812095224,0.047962180812095224
two_ten_slope,0.024098145799195538,0.024098145799195538
har_monthly,0.02359832021585736,0.02359832021585736
gold_relative_volume,0.019077867541973683,0.019077867541973683
gold_return_20d,0.01163704594707407,0.01163704594707407
har_daily,0.007214254658803805,0.007214254658803805
gvz_change,0.0037989244105267384,0.0037989244105267384
vix_change_1d,0.0020723883480283176,0.0020723883480283176
gold_return_5d,-0.0,0.0
gold_return_1d,-0.0,0.0
gold_volatility_20d,0.0,0.0
gold_volatility_5d,0.0,0.0
silver_return_1d,-0.0,0.0
crude_oil_return_1d,-0.0,0.0
gold_volume_change,-0.0,0.0
gold_close_pos,-0.0,0.0
sp_500_return_1d,-0.0,0.0
copper_return_1d,-0.0,0.0
us_dollar_index_return_1d,0.0,0.0
platinum_return_1d,-0.0,0.0
us_2_year_treasury_yields_diff_bps,-0.0,0.0
breakeven_inflation_10y_diff_bps,-0.0,0.0
eur_usd_return_1d,-0.0,0.0
us_10_year_treasury_yields_diff_bps,-0.0,0.0
two_ten_slope_change_bps,-0.0,0.0
gvz_5d,0.0,0.0
vrp,-0.0,0.0
ovx_log,0.0,0.0
