Feature,Mean_RMSE_Increase,Std_RMSE_Increase,Rank
breakeven_inflation_10y_diff_bps,4.553399041134481e-05,1.871135867417651e-05,1
gold_return_20d,3.499574399578181e-05,1.3722228353793313e-05,2
silver_return_1d,3.319132813569374e-05,1.4307250311100022e-05,3
two_ten_slope,2.902615416764207e-05,2.821541243750547e-05,4
us_dollar_index_return_1d,2.002451290727125e-05,1.8762527850925646e-05,5
gold_volatility_5d,1.755529011279438e-05,8.776220832766257e-06,6
gold_volatility_20d,1.4763965229166489e-05,9.205732099076705e-06,7
gold_relative_volume,9.247727587786101e-06,6.4665290402177655e-06,8
vix_change_1d,8.669439242200982e-06,7.212704710988696e-06,9
gold_volume_change,5.324768370959174e-06,1.1624041658069446e-05,10
eur_usd_return_1d,4.946857025517164e-06,9.191697168597292e-06,11
gold_close_pos,3.4461577702918008e-06,1.3548430656529087e-05,12
copper_return_1d,1.441418873363541e-06,5.0061155299167685e-06,13
us_10_year_treasury_yields_diff_bps,8.146224062094074e-07,1.7050460203253538e-05,14
gold_return_5d,-1.5066591086888847e-06,1.1744361023381764e-05,15
platinum_return_1d,-2.0027002875917103e-06,6.700473240212401e-06,16
crude_oil_return_1d,-3.6963019194816843e-06,7.355454773841065e-06,17
gold_return_1d,-9.099564797215853e-06,4.687152320606912e-06,18
sp_500_return_1d,-1.526010071931684e-05,6.6552443929527676e-06,19
two_ten_slope_change_bps,-1.6388646066637336e-05,1.1120288788389897e-05,20
us_2_year_treasury_yields_diff_bps,-2.1442858807348142e-05,6.5111387852420615e-06,21
