config_id,max_depth,min_child_weight,learning_rate,n_estimators,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mean_cv_rmse
8,2,1,0.01,300,0.5,0.6,0.0,0.1,2.0,0.005359404395828735
5,4,5,0.01,200,0.7,0.5,0.0,0.1,0.5,0.0054222274510390385
41,4,1,0.005,500,0.9,0.9,0.0,0.0,10.0,0.005444263943886677
20,6,20,0.005,800,0.7,0.8,0.0,0.0,2.0,0.005479232929471084
11,4,50,0.05,200,1.0,0.7,0.0,0.001,0.5,0.00549601984810835
24,4,10,0.02,500,0.9,0.8,0.0,0.001,1.0,0.0056184387018316
2,6,1,0.05,500,0.5,0.5,0.0,0.001,1.0,0.005710669004749154
39,2,10,0.05,800,0.9,0.7,0.3,0.001,20.0,0.005887289843694672
49,6,1,0.02,800,0.9,0.6,0.5,0.001,0.5,0.005889487899463465
19,6,1,0.02,800,0.9,0.6,0.1,0.01,1.0,0.005889693798578218
43,3,10,0.05,300,0.9,1.0,1.0,0.0,20.0,0.005890881070533563
14,6,5,0.05,500,0.9,0.8,0.3,0.001,1.0,0.005891802424154529
25,2,5,0.005,800,0.9,0.6,1.0,0.001,0.5,0.0058918194116512924
7,5,1,0.05,300,1.0,0.9,0.3,1.0,1.0,0.0058922674430750485
10,2,20,0.01,800,1.0,0.6,0.1,0.1,5.0,0.0058922674430750485
9,5,50,0.02,200,0.7,0.7,0.1,5.0,2.0,0.0058922674430750485
28,5,3,0.03,500,0.6,0.5,0.0,5.0,5.0,0.0058922674430750485
29,4,10,0.03,500,1.0,0.5,2.0,5.0,20.0,0.0058922674430750485
27,3,5,0.03,200,0.9,0.6,2.0,1.0,10.0,0.0058922674430750485
13,5,10,0.03,200,0.7,0.6,0.1,5.0,10.0,0.0058922674430750485
22,2,20,0.01,200,1.0,0.8,1.0,0.001,2.0,0.0058922674430750485
21,4,3,0.005,200,0.9,0.5,0.0,5.0,5.0,0.0058922674430750485
18,5,3,0.03,100,1.0,1.0,0.3,1.0,1.0,0.0058922674430750485
47,2,1,0.02,200,1.0,0.7,0.1,5.0,5.0,0.0058922674430750485
34,4,10,0.02,500,1.0,1.0,1.0,5.0,20.0,0.0058922674430750485
36,2,50,0.02,100,0.5,0.9,0.5,1.0,10.0,0.0058922674430750485
44,6,5,0.005,200,0.7,0.5,0.0,5.0,10.0,0.0058922674430750485
48,6,50,0.03,800,0.5,0.5,0.0,5.0,1.0,0.0058922674430750485
16,5,20,0.005,500,0.8,0.9,0.5,1.0,2.0,0.0058922674430750485
4,5,3,0.03,800,0.7,0.5,0.1,5.0,5.0,0.0058922674430750485
6,4,5,0.05,300,0.5,1.0,0.5,1.0,0.5,0.0058922674430750485
3,6,20,0.005,800,0.6,1.0,2.0,5.0,10.0,0.0058922674430750485
50,4,5,0.005,300,0.6,1.0,0.1,5.0,0.5,0.0058922674430750485
35,5,3,0.01,300,0.6,0.5,1.0,5.0,10.0,0.0058922674430750485
17,6,1,0.005,800,0.7,1.0,0.3,0.0,2.0,0.005892589609890363
45,3,5,0.02,800,0.6,1.0,0.3,0.001,20.0,0.005892765418600403
33,5,10,0.01,500,0.5,0.6,0.5,0.0,5.0,0.005892884596162039
40,4,3,0.02,500,0.6,1.0,2.0,0.01,5.0,0.0058934080248559785
23,6,20,0.03,200,0.9,1.0,2.0,0.001,20.0,0.0058939262738808736
38,3,10,0.005,800,0.6,0.9,1.0,0.0,10.0,0.005894054509447587
15,6,10,0.005,100,0.5,0.6,2.0,0.001,20.0,0.0058960034634739835
46,4,20,0.03,300,0.5,0.5,2.0,0.1,2.0,0.005896145983657583
26,2,50,0.005,200,0.5,0.5,0.3,0.0,10.0,0.005896197742655795
32,6,1,0.005,800,0.5,0.5,0.1,0.001,5.0,0.005896222946291468
30,2,1,0.03,300,0.5,0.6,0.1,0.001,10.0,0.005896458257126187
1,2,1,0.02,200,0.6,0.6,2.0,0.0,20.0,0.005897007509449295
42,3,20,0.02,200,0.7,0.5,0.1,0.01,2.0,0.0058972182236847834
31,5,3,0.03,200,0.7,0.8,0.1,0.0,5.0,0.005897844981367458
12,4,10,0.02,100,0.6,0.9,2.0,0.01,1.0,0.005898007504453671
37,3,1,0.05,100,0.6,0.5,1.0,0.0,20.0,0.0059029662819674285
