config_id,subsample,reg_lambda,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,mean_cv_mse
11,0.7,5.0,500,50,3,0.01,0.0,0.5,0.12891776739665967
20,0.8,20.0,500,1,2,0.01,0.1,0.6,0.1304944263218404
4,0.8,10.0,800,50,2,0.05,0.5,0.6,0.13146316260839486
25,0.7,10.0,200,10,3,0.03,0.5,0.6,0.13169919846612638
36,0.7,5.0,500,50,2,0.03,0.5,1.0,0.13190139285659927
22,1.0,2.0,300,50,4,0.02,0.0,0.5,0.13197632011826285
33,0.8,2.0,200,1,2,0.03,0.0,0.8,0.13238356971710802
7,1.0,1.0,300,1,2,0.03,0.5,0.5,0.13302746005001254
24,0.7,2.0,500,5,2,0.02,0.1,1.0,0.1341281390107512
35,0.6,10.0,800,50,3,0.02,0.1,0.5,0.1347134922368743
30,0.8,10.0,300,10,2,0.05,0.1,0.5,0.1353985105162225
9,0.7,1.0,300,1,2,0.03,0.1,1.0,0.1354494299274769
26,1.0,10.0,800,10,2,0.03,0.1,1.0,0.13563750531746976
21,1.0,5.0,300,1,4,0.05,0.5,0.5,0.1360039780086649
23,0.8,5.0,300,50,5,0.01,0.0,1.0,0.1361082921410802
2,0.8,2.0,200,5,3,0.03,0.5,0.8,0.136218683014563
19,0.6,10.0,200,50,5,0.01,0.5,1.0,0.13671602743369554
29,1.0,5.0,300,50,4,0.05,0.1,0.6,0.13693382512440494
0,1.0,10.0,300,10,5,0.02,0.5,0.5,0.13723056007170523
27,0.8,2.0,200,5,4,0.05,0.5,0.8,0.1373951793330651
38,0.6,10.0,800,5,5,0.05,0.5,1.0,0.1377381610499313
10,0.6,1.0,300,1,4,0.01,0.1,1.0,0.13797266196749897
15,0.7,5.0,500,50,3,0.03,0.1,1.0,0.13797985168404897
14,0.7,2.0,500,5,4,0.01,0.1,1.0,0.13806601373624014
31,0.6,10.0,500,20,2,0.05,0.1,1.0,0.13857201147247997
34,1.0,2.0,800,10,4,0.03,0.1,0.5,0.13859833897859586
18,0.7,10.0,500,20,5,0.02,0.1,0.6,0.13875629744046727
1,0.6,1.0,800,1,4,0.01,0.0,0.5,0.1387834054726618
17,1.0,2.0,300,5,4,0.02,0.5,0.8,0.13908369639872092
32,0.8,5.0,500,20,3,0.03,0.0,0.5,0.13914864602302693
6,1.0,1.0,300,20,4,0.02,0.0,1.0,0.140253689326687
12,1.0,10.0,500,5,3,0.02,0.0,1.0,0.14083469511323968
8,0.8,5.0,500,20,4,0.02,0.0,0.8,0.1413742394657317
39,0.7,20.0,500,20,5,0.03,0.0,0.6,0.14143477530027065
16,1.0,5.0,300,5,3,0.05,0.0,0.5,0.1420715091571952
3,0.7,2.0,300,20,5,0.05,0.0,0.5,0.1441644162915466
37,0.7,1.0,500,10,5,0.03,0.0,0.8,0.14686521346867995
28,1.0,1.0,200,1,5,0.02,0.1,1.0,0.1486235619631834
13,1.0,10.0,800,5,3,0.05,0.0,1.0,0.15703784744767735
5,1.0,5.0,500,5,4,0.05,0.0,0.8,0.15726784497705742
